dataset,row,col,T2,T3,F1,N3,C1_clf,E3,E5
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1969,1.230625,0.585625,0.9936231884057971,0.509375,1.0,0.7024963130516844,0.8270935567727383
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,40,0.025,0.018125,0.9975817798799633,0.47125,1.0,0.59574442234285,0.7211413006959588
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,38,0.02375,0.0175,0.9982239272520602,0.414375,1.0,0.5584386540843864,0.7077607879790504
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,40,0.025,0.018125,0.9957172580736566,0.468125,1.0,0.5670476775286473,0.7075265882799004
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,39,0.024375,0.0175,0.9977943510252482,0.4425,1.0,0.5383509327144445,0.6921684219245483
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,39,0.024375,0.018125,0.9982540680215098,0.4325,1.0,0.5722130915952036,0.7118231157244034
Hill_Valley_with_noise,1212,100,0.08250825082508251,0.0008250825082508251,0.9986936034879336,0.4075907590759076,1.0,0.7190286687439854,0.850435914637953
Hill_Valley_without_noise,1212,100,0.08250825082508251,0.0008250825082508251,0.9982248932585753,0.33993399339933994,0.9999292854321659,0.6364426572654877,0.8004576503022852
adult,48842,33,0.0006756480078620859,2.0474182056426847e-05,0.8012155314211069,0.17491093730805454,0.7938438393644256,0.24708742170967815,0.30970884386739067
agaricus_lepiota,8145,85,0.010435850214855739,0.003928790669122161,0.3863455761392753,0.0,0.9989480654443034,0.0,0.0
analcatdata_aids,50,10,0.2,0.08,0.8526216305234874,0.8,1.0,0.7530025839246812,0.8818052826867295
analcatdata_asbestos,83,4,0.04819277108433735,0.04819277108433735,0.6852661084998041,0.21686746987951808,0.9915017866855546,0.40936079349417,0.46911096210682773
analcatdata_bankruptcy,50,6,0.12,0.1,0.6407465377437683,0.12,1.0,0.27548875021634683,0.44014845922892804
analcatdata_boxing1,120,11,0.09166666666666666,0.075,0.940461654747369,0.30833333333333335,0.9340680553754911,0.65045954912193,0.7435377127999419
analcatdata_boxing2,132,3,0.022727272727272728,0.022727272727272728,0.8953277154616336,0.29545454545454547,0.9958560657511164,0.5565429297299935,0.7127218068808059
analcatdata_creditscore,100,10,0.1,0.05,0.8458233960093144,0.22,0.8414646362081756,0.33058650025961617,0.3724333116552468
analcatdata_cyyoung8092,97,10,0.10309278350515463,0.061855670103092786,0.7438665430554838,0.30927835051546393,0.8071675554288905,0.45441443334655146,0.4712136557962355
analcatdata_cyyoung9302,92,17,0.18478260869565216,0.11956521739130435,0.6730350171506911,0.20652173913043478,0.7347813522127804,0.35933315245610453,0.41239260713692927
analcatdata_fraud,42,18,0.42857142857142855,0.3333333333333333,0.7135037376416685,0.35714285714285715,0.8926230133850988,0.4591479170272447,0.6277174032044079
analcatdata_japansolvent,52,9,0.17307692307692307,0.057692307692307696,0.6305945094460865,0.23076923076923078,0.9989326546260582,0.35319070540557285,0.4045475455190718
analcatdata_lawsuit,264,4,0.015151515151515152,0.015151515151515152,0.7566578527778152,0.04924242424242424,0.37323155189232515,0.07652465283787412,0.09269889603524588
appendicitis,106,7,0.0660377358490566,0.02830188679245283,0.753633604933858,0.20754716981132076,0.7181384220154764,0.30321088860289747,0.314238207359216
backache,180,51,0.2833333333333333,0.16666666666666666,0.9039895552195518,0.18888888888888888,0.5813214987637028,0.2346756020361473,0.2720432498435895
banana,5300,2,0.0003773584905660377,0.0003773584905660377,0.9952677743528622,0.12735849056603774,0.992274432717632,0.18279284998631817,0.22462527808614347
biomed,209,13,0.06220095693779904,0.023923444976076555,0.7267535972994582,0.11483253588516747,0.9417258626620666,0.1625691189474455,0.2818237991011749
breast_cancer,286,25,0.08741258741258741,0.04895104895104895,0.8908313533984434,0.2972027972027972,0.8778446951746506,0.47841286459482135,0.6198578908587176
breast_cancer_wisconsin_diagnostic,569,30,0.05272407732864675,0.01757469244288225,0.37025297643854166,0.05272407732864675,0.9526351224018599,0.0823077109609472,0.10688565166474576
breast_cancer_wisconsin_original,683,80,0.1171303074670571,0.08199121522693997,0.5343834887218633,0.14055636896046853,0.9340026588217947,0.14923987932657148,0.18224842855780274
bupa,345,5,0.014492753623188406,0.014492753623188406,0.9513605793950365,0.48695652173913045,0.9997030165587099,0.665431763807601,0.7851829021365733
