dataset,row,col,T2,T3,C1_regr,L1,S3
1027_ESL,488,30,0.06147540983606557,0.03278688524590164,0.491254446385445,0.1899485391788467,0.14600409836065573
1028_SWD,1000,21,0.021,0.017,0.30930885912692885,0.489479712329627,0.646
1029_LEV,1000,16,0.016,0.013,0.41972839838300047,0.48085612635624975,0.63
1030_ERA,1000,4,0.004,0.004,0.42856925227901455,0.4159722653694522,0.5978888888888888
1089_USCrime,47,13,0.2765957446808511,0.14893617021276595,0.8703446811528438,0.15874233595127557,0.17435849181924856
1096_FacultySalaries,50,4,0.08,0.04,0.9176075041257649,0.24829930495574865,0.36772254057570253
1191_BNG_pbc,1000000,21,2.1e-05,1.3e-05,0.3852649098312891,0.4936126453341889,0.6773625859166031
1193_BNG_lowbwt,31104,16,0.00051440329218107,0.0003536522633744856,0.737109636386027,0.3852254274127949,0.40522409150785804
1196_BNG_pharynx,1000000,23,2.3e-05,1.7e-05,0.5600913743248105,0.444498953306775,0.6446281933056203
1199_BNG_echoMonths,17496,9,0.00051440329218107,0.0004000914494741655,0.6505544623159976,0.3703972004739189,0.4066606494763234
1201_BNG_breastTumor,116640,14,0.00012002743484224966,9.430727023319616e-05,0.19129633640849164,0.6963186910109457,1.4141423826222612
1203_BNG_pwLinear,177147,19,0.00010725555612005848,9.596549758110496e-05,0.6497255662574399,0.42242279145884304,0.37613357363355443
1595_poker,1025010,20,1.951200476092916e-05,1.6585204046789788e-05,0.0029220715685386285,0.6184217825584857,0.862221831982127
192_vineyard,52,2,0.038461538461538464,0.038461538461538464,0.7649988313279392,0.4232031096470609,0.38807692307692315
197_cpu_act,8192,21,0.0025634765625,0.000244140625,0.809354700871191,0.4652245484246409,0.1270470252403846
201_pol,15000,26,0.0017333333333333333,0.0008,0.3480953753318671,0.3793178807409205,0.07802585034013607
210_cloud,108,7,0.06481481481481481,0.05555555555555555,0.871148693028853,0.203651118364218,0.3383163046924668
215_2dplanes,40768,19,0.00046605180533751964,0.0004415227629513344,0.6903399300817317,0.3006934836712893,0.1073568030354321
218_house_8L,22784,8,0.00035112359550561797,0.00013167134831460674,0.6238056055374749,0.6932041484113765,1.3706480971103823
225_puma8NH,8192,8,0.0009765625,0.0009765625,0.503271914576401,0.38323891081814926,0.27697813584628117
227_cpu_small,8192,12,0.00146484375,0.0001220703125,0.7347261749171922,0.47412924072954543,0.09937534670857989
228_elusage,55,2,0.03636363636363636,0.03636363636363636,0.8884879219130964,0.26793878463932463,0.16556352812722508
229_pwLinear,200,19,0.095,0.085,0.7090345043874043,0.28646160376025626,0.5809887480985957
230_machine_cpu,209,6,0.028708133971291867,0.023923444976076555,0.8069961256941397,0.4412260664489218,0.4705847723197073
294_satellite_image,6435,36,0.005594405594405594,0.0009324009324009324,0.7273045392880383,0.3373102233916447,0.06645946645946646
344_mv,40768,11,0.00026981946624803766,0.0002207613814756672,0.6910493429405569,0.20611439432377487,0.016371441813235785
4544_GeographicalOriginalofMusic,1059,117,0.11048158640226628,0.030217186024551465,0.6882732799195801,0.27636066946201854,0.49904885962060463
485_analcatdata_vehicle,48,8,0.16666666666666666,0.14583333333333334,0.8000660379119803,0.29917925024415887,0.4423572262444259
503_wind,6574,14,0.0021296014602981443,0.001216915120170368,0.8048624427736554,0.27568689759900755,0.22037364650365926
505_tecator,240,124,0.5166666666666667,0.0375,0.9691236457563199,0.011332015013349276,0.07136949937311422
519_vinnie,380,4,0.010526315789473684,0.007894736842105263,0.8649208057514512,0.24319450713642882,0.19200000000000003
522_pm10,500,7,0.014,0.012,0.3499783970281232,0.5415057736888562,0.6209908595499655
